Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,83249,92,3344,2,Cluster of cases,0
Republic of Korea,10423,39,204,4,Cluster of cases,0
Australia,6052,96,50,5,Cluster of cases,0
Japan,4768,511,85,4,Cluster of cases,0
Malaysia,4119,156,65,2,Cluster of cases,0
Philippines,3870,106,182,5,Cluster of cases,0
Singapore,1623,142,6,0,Cluster of cases,0
New Zealand,992,23,1,0,Sporadic Cases,0
Viet Nam,251,2,0,0,Cluster of cases,0
Brunei Darussalam,135,0,1,0,Sporadic Cases,4
Cambodia,117,2,0,0,Sporadic Cases,0
Mongolia,16,1,0,0,Sporadic Cases,0
Fiji,15,0,0,0,Sporadic Cases,1
Lao People's Democratic Republic,15,3,0,0,Sporadic Cases,0
Papua New Guinea,2,1,0,0,Sporadic Cases,0
Territories**,,,,,,
Guam,125,4,4,0,Cluster of cases,0
French Polynesia,51,4,0,0,Sporadic Cases,0
New Caledonia,18,0,0,0,Sporadic Cases,6
Northern Mariana Islands (Commonwealth of the),11,3,2,0,Pending,0
European Region,,,,,,
Spain,146690,6180,14555,757,Pending,0
Italy,139422,3836,17669,540,Pending,0
Germany,108202,4974,2107,246,Pending,0
France,81095,3869,10853,540,Pending,0
The United Kingdom,60737,5491,7097,938,Pending,0
Turkey,38226,4117,812,87,Community Transmission,0
Belgium,23403,1209,2240,205,Pending,0
Switzerland,22710,546,705,64,Community Transmission,0
Netherlands,20549,969,2248,147,Pending,0
Portugal,13141,699,380,35,Pending,0
Austria,12969,329,273,30,Pending,0
Russian Federation,10131,2634,76,18,Cluster of cases,0
Israel,9404,0,71,0,Pending,1
Sweden,8419,726,687,96,Pending,0
Ireland,6224,515,235,25,Pending,0
Norway,6010,147,80,11,Pending,0
Denmark,5402,331,218,15,Pending,0
Czechia,5312,295,99,11,Pending,0
Poland,5205,357,159,30,Pending,0
Romania,4761,344,209,27,Pending,0
Luxembourg,3034,64,46,2,Pending,0
Serbia,2666,219,65,4,Pending,0
Finland,2487,179,40,6,Pending,0
Ukraine,1892,224,57,5,Cluster of cases,0
Greece,1884,52,83,2,Pending,0
Iceland,1616,30,6,0,Pending,0
Croatia,1343,61,19,1,Pending,0
Estonia,1185,36,24,3,Pending,0
Republic of Moldova,1174,118,28,6,Pending,0
Slovenia,1091,36,40,4,Pending,0
Belarus,1066,205,13,0,Cluster of cases,0
Hungary,980,85,66,8,Pending,0
Armenia,921,44,10,2,Cluster of cases,0
Lithuania,912,32,15,0,Pending,0
Azerbaijan,822,105,8,0,Cluster of cases,0
Bosnia and Herzegovina,816,35,35,3,Community Transmission,0
Kazakhstan,727,18,7,1,Pending,0
Slovakia,682,84,2,0,Pending,0
North Macedonia,617,18,30,3,Cluster of cases,0
Bulgaria,593,16,24,1,Pending,0
Latvia,577,29,2,0,Pending,0
Andorra,566,15,24,2,Community Transmission,0
Uzbekistan,555,21,3,0,Cluster of cases,0
Cyprus,526,32,14,0,Pending,0
Albania,409,9,22,0,Cluster of cases,0
San Marino,308,29,34,0,Community Transmission,0
Malta,299,6,1,1,Pending,0
Kyrgyzstan,280,10,4,0,Pending,0
Montenegro,248,0,2,0,Cluster of cases,1
Georgia,214,6,3,0,Cluster of cases,0
Liechtenstein,79,1,1,0,Pending,0
Monaco,54,14,0,0,Sporadic Cases,0
Holy See,8,1,0,0,Sporadic Cases,0
Territories**,,,,,,
Kosovo[1],224,40,6,1,Community Transmission,0
Faroe Islands,184,0,0,0,Pending,1
Jersey,170,0,3,0,Pending,1
Guernsey,166,0,4,0,Pending,1
Isle of Man,150,0,1,0,Pending,1
Gibraltar,113,0,1,0,Pending,1
Greenland,11,0,0,0,Pending,3
South-East Asia Region,,,,,,
India,5734,540,166,17,Community Transmission,0
Indonesia,2956,218,240,19,Community Transmission,0
Thailand,2423,54,32,2,Community Transmission,0
Bangladesh,218,54,20,3,Community Transmission,0
Sri Lanka,189,3,7,1,Cluster of cases,0
Myanmar,22,0,3,0,Sporadic Cases,1
Maldives,19,0,0,0,Cluster of cases,6
Nepal,9,0,0,0,Cluster of cases,4
Bhutan,5,0,0,0,Sporadic Cases,6
Timor-Leste,1,0,0,0,Sporadic Cases,19
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),64586,1997,3993,121,Pending,0
Pakistan,4322,250,63,5,Cluster of cases,0
Saudi Arabia,2932,137,41,0,Cluster of cases,0
United Arab Emirates,2659,300,12,0,Pending,0
Qatar,2210,153,6,0,Pending,0
Egypt,1560,110,103,9,Cluster of cases,0
Morocco,1275,91,93,3,Cluster of cases,0
Iraq,1202,80,69,4,Cluster of cases,0
Kuwait,855,112,1,0,Cluster of cases,0
Bahrain,823,12,5,0,Cluster of cases,0
Tunisia,628,5,24,1,Community Transmission,0
Lebanon,575,27,19,0,Cluster of cases,0
Oman,457,38,2,0,Cluster of cases,0
Afghanistan,444,21,15,1,Cluster of cases,0
Jordan,358,5,6,0,Cluster of cases,0
Djibouti,135,14,0,0,Cluster of cases,0
Libya,21,1,1,0,Cluster of cases,0
Syrian Arab Republic,19,0,2,0,Community Transmission,3
Sudan,14,0,2,0,Sporadic Cases,2
Somalia,12,4,1,1,Sporadic Cases,0
Territories**,,,,,,
occupied Palestinian territory,263,0,1,0,Cluster of cases,1
Region of the Americas,,,,,,
United States of America,395030,31709,12740,1895,Community Transmission,0
Canada,18433,1384,401,56,Community Transmission,0
Brazil,13717,1661,667,114,Community Transmission,0
Chile,5546,430,48,5,Community Transmission,0
Ecuador,4450,703,242,51,Community Transmission,0
Peru,2954,393,107,15,Community Transmission,0
Mexico,2785,346,141,16,Community Transmission,0
Panama,2249,149,59,4,Community Transmission,0
Dominican Republic,1956,0,98,0,Community Transmission,1
Colombia,1780,201,50,4,Community Transmission,0
Argentina,1715,87,60,7,Community Transmission,0
Costa Rica,483,16,2,0,Cluster of cases,0
Cuba,457,61,12,1,Cluster of cases,0
Uruguay,424,9,7,1,Cluster of cases,0
Honduras,312,7,22,0,Cluster of cases,0
Bolivia (Plurinational State of),210,16,15,1,Cluster of cases,0
Venezuela (Bolivarian Republic of),166,1,7,0,Cluster of cases,0
Paraguay,119,4,5,0,Cluster of cases,0
Trinidad and Tobago,107,1,8,0,Cluster of cases,0
El Salvador,93,15,5,1,Cluster of cases,0
Guatemala,87,10,3,0,Cluster of cases,0
Barbados,63,3,3,1,Cluster of cases,0
Jamaica,63,4,3,0,Cluster of cases,0
Bahamas,36,3,6,1,Cluster of cases,0
Guyana,33,2,5,0,Cluster of cases,0
Haiti,27,2,1,0,Cluster of cases,0
Antigua and Barbuda,19,4,2,2,Cluster of cases,0
Dominica,15,0,0,0,Cluster of cases,1
Saint Lucia,14,0,0,0,Sporadic Cases,3
Grenada,12,0,0,0,Cluster of cases,4
Saint Kitts and Nevis,11,1,0,0,Sporadic Cases,0
Suriname,10,0,1,0,Sporadic Cases,5
Belize,8,1,1,0,Sporadic Cases,0
Saint Vincent and the Grenadines,8,1,0,0,Sporadic Cases,0
Nicaragua,6,0,1,0,Pending,2
Territories**,,,,,,
Puerto Rico,620,47,24,1,Cluster of cases,0
Martinique,152,1,4,0,Cluster of cases,0
Guadeloupe,139,0,8,1,Cluster of cases,1
French Guiana,77,5,0,0,Cluster of cases,0
Aruba,74,3,0,0,Cluster of cases,0
Cayman Islands,45,6,2,1,Cluster of cases,0
United States Virgin Islands,45,2,1,0,Cluster of cases,0
Sint Maarten,40,0,8,0,Sporadic Cases,1
Bermuda,39,0,2,0,Cluster of cases,1
Saint Martin,31,0,2,0,Sporadic Cases,2
Curaçao,14,1,1,0,Sporadic Cases,0
Montserrat,8,2,0,0,Sporadic Cases,0
Turks and Caicos Islands,8,0,1,0,Sporadic Cases,1
Saint Barthélemy,6,0,0,0,Sporadic Cases,9
Falkland Islands (Malvinas),5,3,0,0,Sporadic Cases,0
Anguilla,3,0,0,0,Sporadic Cases,5
British Virgin Islands,3,0,0,0,Sporadic Cases,8
"Bonaire, Sint Eustatius and Saba",2,0,0,0,Sporadic Cases,5
Saint Pierre and Miquelon,1,0,0,0,Sporadic Cases,1
African Region,,,,,,
South Africa,1845,96,18,5,Community Transmission,0
Algeria,1572,104,205,11,Community Transmission,0
Cameroon,730,175,10,1,Cluster of cases,0
Burkina Faso,384,20,19,1,Cluster of cases,0
Côte d’Ivoire,384,35,3,0,Cluster of cases,0
Niger,342,64,11,0,Cluster of cases,0
Ghana,313,26,6,1,Cluster of cases,0
Nigeria,276,22,6,0,Cluster of cases,0
Mauritius,273,5,7,0,Cluster of cases,0
Senegal,244,7,2,0,Cluster of cases,0
Democratic Republic of the Congo,207,24,20,0,Cluster of cases,0
Kenya,179,7,6,0,Cluster of cases,0
Guinea,164,20,0,0,Cluster of cases,0
Rwanda,110,5,0,0,Sporadic Cases,0
Madagascar,93,1,0,0,Cluster of cases,0
Togo,70,12,3,0,Sporadic Cases,0
Congo,60,15,5,0,Cluster of cases,0
Mali,56,9,6,1,Sporadic Cases,0
Ethiopia,55,3,2,1,Sporadic Cases,0
Uganda,53,1,0,0,Sporadic Cases,0
Zambia,39,0,1,0,Sporadic Cases,6
Eritrea,33,2,0,0,Sporadic Cases,0
Guinea-Bissau,33,0,0,0,Sporadic Cases,2
Liberia,31,17,4,1,Sporadic Cases,0
Benin,26,0,1,0,Sporadic Cases,1
United Republic of Tanzania,25,1,1,0,Sporadic Cases,0
Gabon,24,0,1,0,Sporadic Cases,1
Angola,19,2,2,0,Sporadic Cases,0
Mozambique,17,7,0,0,Sporadic Cases,0
Equatorial Guinea,16,0,0,0,Sporadic Cases,4
Namibia,16,0,0,0,Sporadic Cases,3
Eswatini,12,2,0,0,Sporadic Cases,0
Seychelles,11,0,0,0,Sporadic Cases,2
Zimbabwe,11,0,3,1,Sporadic Cases,1
Central African Republic,10,1,0,0,Sporadic Cases,0
Chad,10,0,0,0,Sporadic Cases,1
Malawi,8,0,1,0,Sporadic Cases,1
Cabo Verde,7,0,1,0,Sporadic Cases,2
Sierra Leone,7,1,0,0,Sporadic Cases,0
Botswana,6,0,1,0,Sporadic Cases,2
Mauritania,6,0,1,0,Sporadic Cases,5
Gambia,4,0,1,0,Sporadic Cases,6
São Tomé and Príncipe,4,0,0,0,Pending,2
Burundi,3,0,0,0,Sporadic Cases,5
South Sudan,1,0,0,0,Pending,3
Territories**,,,,,,
Réunion,362,4,0,0,Cluster of cases,0
Mayotte,186,2,2,0,Cluster of cases,0
Subtotal for all Regions,1435486,82837,85511,6287,,
International conveyance (Diamond Princess),712,0,11,0,Pending,24
Grand total,1436198,82837,85522,6287,,
