Reporting Country/ Territory/Area†,Total confirmed‡ cases,New confirmed cases,Total deaths,New deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84369,22,4643,0,Clusters of cases,0
Singapore,15222,799,14,0,Clusters of cases,0
Japan,13852,276,389,13,Clusters of cases,0
Republic of Korea,10761,9,246,2,Clusters of cases,0
Philippines,7958,181,530,19,Clusters of cases,0
Australia,6738,13,88,4,Clusters of cases,0
Malaysia,5851,31,100,1,Clusters of cases,0
New Zealand,1126,2,19,0,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,4
Brunei Darussalam,138,0,1,0,Sporadic cases,9
Cambodia,122,0,0,0,Sporadic cases,17
Mongolia,38,0,0,0,Sporadic cases,2
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,16
Fiji,18,0,0,0,Sporadic cases,8
Papua New Guinea,8,0,0,0,Sporadic cases,6
Territories**,,,,,,
Guam,140,2,5,0,Clusters of cases,0
French Polynesia,58,0,0,0,Sporadic cases,1
New Caledonia,18,0,0,0,Sporadic cases,26
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,11
European Region,,,,,,
Spain,210773,1308,23822,632,Pending,0
Italy,201505,2091,27359,382,Community transmission,0
The United Kingdom,161149,3996,21678,586,Community transmission,0
Germany,157641,1304,6115,202,Community transmission,0
France,125464,0,23627,366,Community transmission,0
Turkey,114653,2392,2992,92,Community transmission,0
Russian Federation,99399,5841,972,105,Clusters of cases,0
Belgium,47334,647,7331,124,Community transmission,0
Netherlands,38416,171,4566,48,Community transmission,0
Switzerland,29181,100,1379,27,Community transmission,0
Portugal,24322,295,948,20,Community transmission,0
Ireland,19877,229,1159,57,Community transmission,0
Sweden,19621,695,2355,81,Community transmission,0
Israel,15782,316,212,10,Pending,0
Austria,15314,58,569,20,Community transmission,0
Poland,12218,316,596,34,Community transmission,0
Belarus,12208,0,79,0,Clusters of cases,1
Romania,11616,277,650,19,Community transmission,0
Ukraine,9866,456,250,11,Community transmission,0
Denmark,8851,153,434,7,Pending,0
Serbia,8497,222,168,6,Pending,0
Norway,7605,72,195,2,Pending,0
Czechia,7504,55,227,4,Community transmission,0
Finland,4740,45,199,6,Pending,0
Luxembourg,3741,12,89,1,Pending,0
Republic of Moldova,3638,157,109,6,Pending,0
Kazakhstan,3078,96,25,0,Pending,0
Hungary,2727,78,300,9,Clusters of cases,0
Greece,2534,0,136,0,Community transmission,1
Croatia,2047,8,63,4,Community transmission,0
Uzbekistan,1955,31,8,0,Clusters of cases,0
Armenia,1932,65,30,0,Clusters of cases,0
Iceland,1795,3,10,0,Community transmission,0
Azerbaijan,1717,39,22,0,Clusters of cases,0
Estonia,1660,13,50,0,Pending,0
Bosnia and Herzegovina,1588,24,62,2,Community transmission,0
Lithuania,1449,0,44,3,Community transmission,2
North Macedonia,1421,22,71,6,Clusters of cases,0
Slovenia,1408,1,86,3,Community transmission,0
Bulgaria,1399,36,58,0,Pending,0
Slovakia,1384,3,20,2,Clusters of cases,0
Cyprus,837,15,20,0,Clusters of cases,0
Latvia,836,18,13,0,Community transmission,0
Albania,766,30,30,2,Clusters of cases,0
Andorra,753,5,41,1,Community transmission,0
Kyrgyzstan,729,21,8,0,Pending,0
San Marino,553,15,41,0,Community transmission,0
Georgia,517,6,6,0,Community transmission,0
Malta,450,0,4,0,Pending,1
Montenegro,321,0,7,0,Clusters of cases,2
Liechtenstein,83,0,1,0,Pending,3
Monaco,68,0,1,0,Sporadic cases,15
Holy See,10,1,0,0,Sporadic cases,0
Territories**,,,,,,
Kosovo[1],790,10,22,0,Community transmission,0
Isle of Man,308,0,20,2,Pending,4
Jersey,283,2,19,0,Pending,0
Guernsey,247,0,13,0,Community transmission,1
Faroe Islands,187,0,0,0,Pending,5
Gibraltar,141,0,0,0,Clusters of cases,2
Greenland,11,0,0,0,Pending,23
South-East Asia Region,,,,,,
India,31332,1897,1007,73,Clusters of cases,0
Indonesia,9511,415,773,8,Community transmission,0
Bangladesh,6462,549,155,3,Pending,0
Thailand,2947,9,54,0,Pending,0
Sri Lanka,619,96,7,0,Clusters of cases,0
Maldives,245,31,0,0,Clusters of cases,0
Myanmar,150,4,5,0,Clusters of cases,0
Nepal,54,2,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,5
Bhutan,7,0,0,0,Sporadic cases,6
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),92584,1112,5877,71,Community transmission,0
Saudi Arabia,20077,1266,152,8,Clusters of cases,0
Pakistan,14885,970,327,35,Clusters of cases,0
Qatar,11921,677,10,0,Pending,0
United Arab Emirates,11380,541,89,7,Pending,0
Egypt,5042,260,359,22,Clusters of cases,0
Morocco,4252,132,165,3,Clusters of cases,0
Kuwait,3440,152,23,1,Clusters of cases,0
Bahrain,2811,88,8,0,Clusters of cases,0
Oman,2274,143,10,0,Clusters of cases,0
Iraq,1928,81,90,2,Clusters of cases,0
Afghanistan,1827,124,60,0,Clusters of cases,0
Djibouti,1072,37,2,0,Clusters of cases,0
Tunisia,975,8,40,1,Community transmission,0
Lebanon,717,7,24,0,Clusters of cases,0
Somalia,528,48,28,2,Sporadic cases,0
Jordan,449,0,8,1,Clusters of cases,1
Sudan,318,43,25,3,Sporadic cases,0
Libya,61,0,2,0,Clusters of cases,4
Syrian Arab Republic,43,0,3,0,Community transmission,1
Yemen,1,0,0,0,Pending,18
Territories**,,,,,,
occupied Palestinian territory,343,1,2,0,Clusters of cases,0
Region of the Americas,,,,,,
United States of America,983457,22541,50492,1322,Community transmission,0
Brazil,66501,4613,4543,338,Community transmission,0
Canada,49014,1698,2766,149,Community transmission,0
Peru,28699,1182,782,54,Community transmission,0
Ecuador,24258,1018,871,208,Community transmission,0
Mexico,15529,852,1434,83,Community transmission,0
Chile,14365,552,207,9,Community transmission,0
Dominican Republic,6416,123,286,4,Community transmission,0
Panama,6021,242,167,2,Community transmission,0
Colombia,5597,218,253,9,Community transmission,0
Argentina,4019,127,197,5,Community transmission,0
Cuba,1437,48,58,2,Clusters of cases,0
Bolivia (Plurinational State of),1014,64,53,3,Clusters of cases,0
Honduras,702,41,64,3,Clusters of cases,0
Costa Rica,697,2,6,0,Clusters of cases,0
Uruguay,620,14,15,0,Clusters of cases,0
Guatemala,530,30,15,0,Clusters of cases,0
Jamaica,364,59,7,0,Clusters of cases,0
El Salvador,345,22,8,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),329,4,10,0,Clusters of cases,0
Paraguay,230,2,9,0,Community transmission,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,1
Bahamas,80,0,11,0,Clusters of cases,1
Barbados,80,1,6,0,Clusters of cases,0
Haiti,76,2,6,0,Clusters of cases,0
Guyana,74,0,8,0,Clusters of cases,2
Antigua and Barbuda,24,0,3,0,Clusters of cases,6
Belize,18,0,2,0,Sporadic cases,14
Grenada,18,0,0,0,Clusters of cases,2
Dominica,16,0,0,0,Clusters of cases,18
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,8
Saint Lucia,15,0,0,0,Sporadic cases,17
Saint Vincent and the Grenadines,15,0,0,0,Sporadic cases,1
Nicaragua,13,0,3,0,Pending,2
Suriname,10,0,1,0,Sporadic cases,25
Territories**,,,,,,
Puerto Rico,1400,11,54,1,Clusters of cases,0
Martinique,175,0,14,0,Clusters of cases,2
Guadeloupe,149,0,11,1,Clusters of cases,4
French Guiana,124,13,1,0,Clusters of cases,0
Bermuda,110,1,6,0,Clusters of cases,0
Aruba,100,0,2,0,Clusters of cases,6
Sint Maarten,75,1,13,0,Clusters of cases,0
Cayman Islands,70,0,1,0,Clusters of cases,3
United States Virgin Islands,59,0,4,0,Clusters of cases,1
Saint Martin,38,0,3,0,Sporadic cases,6
Curaçao,16,0,1,0,Sporadic cases,1
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,3
Turks and Caicos Islands,12,0,1,0,Sporadic cases,1
Montserrat,11,0,1,0,Sporadic cases,15
"Bonaire, Sint Eustatius and Saba",6,0,0,0,Sporadic cases,1
British Virgin Islands,6,0,1,0,Sporadic cases,3
Saint Barthélemy,6,0,0,0,Sporadic cases,29
Anguilla,3,0,0,0,Sporadic cases,25
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,21
African Region,,,,,,
South Africa,4996,203,93,3,Community transmission,0
Algeria,3649,132,437,5,Community transmission,0
Cameroon,1705,84,58,2,Clusters of cases,0
Ghana,1671,121,16,5,Clusters of cases,0
Nigeria,1337,0,40,0,Community transmission,1
Guinea,1240,77,7,0,Community transmission,0
Côte d’Ivoire,1183,19,14,0,Clusters of cases,0
Senegal,823,88,9,0,Clusters of cases,0
Niger,709,8,31,2,Clusters of cases,0
Burkina Faso,638,6,42,0,Community transmission,0
Democratic Republic of the Congo,491,20,30,0,Clusters of cases,0
Mali,424,16,24,1,Clusters of cases,0
Kenya,374,11,14,0,Clusters of cases,0
Mauritius,332,0,10,1,Community transmission,2
Equatorial Guinea,315,57,1,0,Clusters of cases,0
United Republic of Tanzania,300,0,10,0,Clusters of cases,4
Gabon,238,62,3,0,Clusters of cases,0
Rwanda,212,5,0,0,Clusters of cases,0
Congo,207,0,8,0,Clusters of cases,1
Liberia,141,8,16,0,Clusters of cases,0
Madagascar,128,0,0,0,Clusters of cases,2
Ethiopia,126,2,3,0,Clusters of cases,0
Cabo Verde,113,7,1,0,Sporadic cases,0
Sierra Leone,104,5,5,1,Clusters of cases,0
Togo,99,0,6,0,Clusters of cases,1
Zambia,95,6,3,0,Sporadic cases,0
Uganda,79,0,0,0,Sporadic cases,1
Mozambique,76,0,0,0,Sporadic cases,2
Guinea-Bissau,73,0,1,0,Sporadic cases,1
