Reporting Country/ cTerritory/Area†,Total onfirmed‡ cases,New confirmed cases,Total deaths,New deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84373,4,4643,0,Clusters of cases,0
Singapore,15641,690,14,0,Clusters of cases,0
Japan,14088,236,415,26,Clusters of cases,0
Republic of Korea,10765,4,247,1,Clusters of cases,0
Philippines,8212,254,558,28,Clusters of cases,0
Australia,6746,8,90,2,Clusters of cases,0
Malaysia,5945,94,100,0,Clusters of cases,0
New Zealand,1129,3,19,0,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,5
Brunei Darussalam,138,0,1,0,Sporadic cases,10
Cambodia,122,0,0,0,Sporadic cases,18
Mongolia,38,0,0,0,Sporadic cases,3
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,17
Fiji,18,0,0,0,Sporadic cases,9
Papua New Guinea,8,0,0,0,Sporadic cases,7
Territories**,,,,,,
Guam,141,1,5,0,Clusters of cases,0
French Polynesia,58,0,0,0,Sporadic cases,2
New Caledonia,18,0,0,0,Sporadic cases,27
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,12
European Region,,,,,,
Spain,212917,2144,24275,453,Community transmission,0
Italy,203591,2086,27682,323,Community transmission,0
The United Kingdom,165225,4076,26097,4419,Community transmission,0
Germany,159119,1478,6288,173,Community transmission,0
France,127066,1602,24054,427,Community transmission,0
Turkey,117589,2936,3081,89,Community transmission,0
Russian Federation,106498,7099,1073,101,Clusters of cases,0
Belgium,47859,525,7501,170,Community transmission,0
Netherlands,38802,386,4711,145,Community transmission,0
Switzerland,29324,143,1407,28,Community transmission,0
Portugal,24505,183,973,25,Community transmission,0
Sweden,20302,681,2462,107,Community transmission,0
Ireland,20253,376,1190,31,Community transmission,0
Israel,15782,0,212,0,Pending,1
Austria,15364,50,580,11,Community transmission,0
Belarus,13181,973,84,5,Clusters of cases,0
Poland,12640,422,624,28,Community transmission,0
Romania,11978,362,675,25,Community transmission,0
Ukraine,10406,540,261,11,Community transmission,0
Denmark,9008,157,443,9,Pending,0
Serbia,8724,227,173,5,Pending,0
Norway,7667,62,202,7,Pending,0
Czechia,7579,75,227,0,Community transmission,0
Finland,4906,166,206,7,Pending,0
Republic of Moldova,3771,133,116,7,Pending,0
Luxembourg,3769,28,89,0,Pending,0
Kazakhstan,3333,255,25,0,Pending,0
Hungary,2775,48,312,12,Clusters of cases,0
Greece,2576,42,139,3,Community transmission,0
Armenia,2066,134,32,2,Clusters of cases,0
Croatia,2062,15,67,4,Community transmission,0
Uzbekistan,2031,76,9,1,Clusters of cases,0
Iceland,1797,2,10,0,Community transmission,0
Azerbaijan,1766,49,23,1,Clusters of cases,0
Bosnia and Herzegovina,1689,101,64,2,Community transmission,0
Estonia,1666,6,50,0,Pending,0
Bulgaria,1447,48,64,6,Pending,0
North Macedonia,1442,21,73,2,Clusters of cases,0
Slovenia,1418,10,89,3,Community transmission,0
Slovakia,1391,7,22,2,Clusters of cases,0
Lithuania,1375,0,45,1,Community transmission,0
Latvia,849,13,15,2,Community transmission,0
Cyprus,843,6,20,0,Clusters of cases,0
Albania,773,7,31,1,Clusters of cases,0
Andorra,753,0,41,0,Community transmission,1
Kyrgyzstan,746,17,8,0,Clusters of cases,0
San Marino,563,10,41,0,Community transmission,0
Georgia,539,22,6,0,Community transmission,0
Malta,463,13,4,0,Pending,0
Montenegro,322,1,7,0,Clusters of cases,0
Liechtenstein,83,0,1,0,Pending,4
Monaco,68,0,1,0,Sporadic cases,16
Holy See,10,0,0,0,Sporadic cases,1
Territories**,,,,,,
Kosovo[1],799,9,22,0,Community transmission,0
Isle of Man,309,1,21,1,Pending,0
Jersey,284,1,20,1,Pending,0
Guernsey,247,0,13,0,Community transmission,2
Faroe Islands,187,0,0,0,Pending,6
Gibraltar,141,0,0,0,Clusters of cases,3
Greenland,11,0,0,0,Pending,24
South-East Asia Region,,,,,,
India,33050,1718,1074,67,Clusters of cases,0
Indonesia,9771,260,784,11,Community transmission,0
Bangladesh,7103,641,163,8,Pending,0
Thailand,2954,7,54,0,Clusters of cases,0
Sri Lanka,649,30,7,0,Clusters of cases,0
Maldives,256,11,0,0,Clusters of cases,0
Myanmar,150,0,6,1,Clusters of cases,1
Nepal,57,3,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,6
Bhutan,7,0,0,0,Sporadic cases,7
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),93657,1073,5957,80,Community transmission,0
Saudi Arabia,21402,1325,157,5,Clusters of cases,0
Pakistan,15759,874,346,19,Clusters of cases,0
Qatar,12564,643,10,0,Pending,0
United Arab Emirates,11929,549,98,9,Pending,0
Egypt,5268,226,380,21,Clusters of cases,0
Morocco,4359,107,168,3,Clusters of cases,0
Kuwait,3740,300,24,1,Clusters of cases,0
Bahrain,2921,110,8,0,Clusters of cases,0
Oman,2348,74,10,0,Clusters of cases,0
Iraq,2003,75,92,2,Clusters of cases,0
Afghanistan,1827,0,60,0,Clusters of cases,1
Djibouti,1077,5,2,0,Clusters of cases,0
Tunisia,980,5,40,0,Community transmission,0
Lebanon,721,4,24,0,Clusters of cases,0
Somalia,582,54,28,0,Sporadic cases,0
Jordan,451,2,8,0,Clusters of cases,0
Sudan,375,57,28,3,Sporadic cases,0
Libya,61,0,2,0,Clusters of cases,5
Syrian Arab Republic,43,0,3,0,Community transmission,2
Yemen,6,5,0,0,Pending,0
Territories**,,,,,,
occupied Palestinian territory,344,1,2,0,Clusters of cases,0
Region of the Americas,,,,,,
United States of America,1003974,20517,52428,1936,Community transmission,0
Brazil,71886,5385,5017,474,Community transmission,0
Canada,50363,1349,2904,138,Community transmission,0
Peru,31190,2491,854,72,Community transmission,0
Ecuador,24675,417,883,12,Community transmission,0
Mexico,16752,1223,1569,135,Community transmission,0
Chile,14885,520,216,9,Community transmission,0
Dominican Republic,6652,236,293,7,Community transmission,0
Panama,6200,179,176,9,Community transmission,0
Colombia,5949,352,269,16,Community transmission,0
Argentina,4201,182,207,10,Community transmission,0
Cuba,1467,30,58,0,Clusters of cases,0
Bolivia (Plurinational State of),1053,39,55,2,Clusters of cases,0
Honduras,738,36,66,2,Clusters of cases,0
Costa Rica,705,8,6,0,Clusters of cases,0
Uruguay,625,5,15,0,Clusters of cases,0
Guatemala,557,27,16,1,Clusters of cases,0
Jamaica,381,17,7,0,Clusters of cases,0
El Salvador,377,32,9,1,Clusters of cases,0
Venezuela (Bolivarian Republic of),329,0,10,0,Clusters of cases,1
Paraguay,239,9,9,0,Community transmission,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,2
Bahamas,80,0,11,0,Clusters of cases,2
Barbados,80,0,6,0,Clusters of cases,1
Haiti,76,0,6,0,Clusters of cases,1
Guyana,75,1,8,0,Clusters of cases,0
Antigua and Barbuda,24,0,3,0,Clusters of cases,7
Grenada,19,1,0,0,Clusters of cases,0
Belize,18,0,2,0,Sporadic cases,15
Saint Lucia,17,2,0,0,Sporadic cases,0
Dominica,16,0,0,0,Clusters of cases,19
Saint Vincent and the Grenadines,16,1,0,0,Sporadic cases,0
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,9
Nicaragua,13,0,3,0,Pending,3
Suriname,10,0,1,0,Sporadic cases,26
Territories**,,,,,,
Puerto Rico,1433,33,54,0,Clusters of cases,0
Martinique,175,0,14,0,Clusters of cases,3
Guadeloupe,151,2,11,0,Clusters of cases,0
French Guiana,125,1,1,0,Clusters of cases,0
Bermuda,111,1,6,0,Clusters of cases,0
Aruba,100,0,2,0,Clusters of cases,7
Sint Maarten,75,0,13,0,Clusters of cases,1
Cayman Islands,73,3,1,0,Clusters of cases,0
United States Virgin Islands,62,3,4,0,Clusters of cases,0
Saint Martin,38,0,3,0,Sporadic cases,7
Curaçao,16,0,1,0,Sporadic cases,2
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,4
Turks and Caicos Islands,12,0,1,0,Sporadic cases,2
Montserrat,11,0,1,0,Sporadic cases,16
"Bonaire, Sint Eustatius and Saba",6,0,0,0,Sporadic cases,2
British Virgin Islands,6,0,1,0,Sporadic cases,4
Saint Barthélemy,6,0,0,0,Sporadic cases,30
Anguilla,3,0,0,0,Sporadic cases,26
