Date,Confirmed,New Confirmed,Deaths,New Deaths
20200429,128528,1520,23660,367
20200428,127008,3729,23261,440
20200427,123279,404,22821,241
20200426,122875,1537,22580,368
20200425,121338,1755,22212,389
20200424,119583,1622,21823,516
20200423,117961,1810,21307,544
20200422,116151,2638,20763,530
20200421,113513,2050,20233,544
20200420,111463,742,19689,395
20200419,110721,2558,19294,635
20200418,108163,385,18659,760
20200417,107778,2623,17899,753
20200416,105155,2622,17146,1438
20200415,102533,5483,15708,762
20200414,97050,2668,14946,572
20200413,94382,1595,14374,560
20200412,92787,3104,13814,635
20200411,89683,4332,13179,987
20200410,85351,4256,12192,1339
20200409,81095,3869,10853,540
20200408,77226,3738,10313,1417
20200407,73488,3881,8896,832
20200406,69607,1850,8064,518
20200405,67757,4221,7546,1053
20200404,63536,5209,6493,2003
20200403,58327,2066,4490,471
20200402,56261,4784,4019,505
20200401,51477,7500,3514,497
20200331,43977,4335,3017,415
20200330,39642,2497,2602,291
20200329,37145,4603,2311,319
20200328,32542,3756,1992,297
20200327,28786,3866,1695,364
20200326,24920,2895,1331,231
20200325,22025,2410,1100,240
20200324,19615,3794,860,186
20200323,15821,1525,674,112
20200322,14296,1821,562,112
20200321,12475,1598,450,78
20200320,10877,1834,372,128
20200319,9043,1391,244,69
20200318,7652,1079,175,27
20200317,6573,1193,148,21
20200316,5380,911,127,36
20200315,4469,829,91,12
20200314,3640,780,79,18
20200313,2860,591,61,13
20200312,2269,495,48,15
20200311,1774,372,33,3
20200310,1402,286,30,11
20200309,1116,410,19,9
20200308,706,93,10,1
20200307,613,193,9,3
20200306,420,138,6,2
20200305,282,73,4,0
20200304,212,21,4,1
20200303,191,91,3,1
20200302,100,0,2,0
20200301,100,43,2,0
20200229,57,19,2,0
20200228,38,20,2,0
20200227,18,6,2,1
20200226,12,0,1,0
20200225,12,0,1,0
20200224,12,0,1,0
20200223,12,0,1,0
20200222,12,0,1,0
20200221,12,0,1,0
20200220,12,0,1,0
20200219,12,0,1,0
20200218,12,0,1,0
20200217,12,0,1,0
20200216,12,1,1,1
20200215,11,0,0,0
20200214,11,0,0,0
20200213,11,0,0,0
20200212,11,0,0,0
20200211,11,0,0,0
20200210,11,0,0,0
20200209,11,5,0,0
20200208,6,0,0,0
20200207,6,0,0,0
20200206,6,0,0,0
20200205,6,0,0,0
20200204,6,0,0,0
20200203,6,0,0,0
20200202,6,0,0,0
20200201,6,0,0,0
20200131,6,1,0,0
20200130,5,1,0,0
20200129,4,1,0,0
20200128,3,0,0,0
20200127,3,0,0,0
20200126,3,0,0,0
