Date,Confirmed,New Confirmed,Deaths,New Deaths
20200419,141977,3225,4304,199
20200418,138752,2526,4105,267
20200417,136226,3072,3838,279
20200416,133154,2714,3559,339
20200415,130440,2088,3220,226
20200414,128352,2941,2994,160
20200413,125411,2170,2834,141
20200412,123241,5287,2693,150
20200411,117954,4879,2543,229
20200410,113075,4745,2314,238
20200409,107930,4402,2067,252
20200408,103528,3046,1815,237
20200407,100482,3632,1578,158
20200406,96850,4695,1420,99
20200405,92155,5503,1321,166
20200404,86652,6917,1155,151
20200403,79735,7034,1004,138
20200402,72701,5616,866,164
20200401,66824,3314,700,141
20200331,63510,3153,559,103
20200330,60357,3762,456,57
20200329,56595,7109,399,76
20200328,49486,5810,323,61
20200327,43676,6327,262,56
20200326,37349,4355,206,47
20200325,32994,3935,159,36
20200324,29059,4056,123,29
20200323,25003,2601,94,11
20200322,22402,2649,83,15
20200321,19753,3930,45,25
20200320,15823,3464,20,8
20200319,12359,2756,13,0
20200318,9164,1634,13,0
20200317,7530,1680,13,1
20200316,4838,1043,12,4
20200315,3795,733,8,2
20200314,3062,693,6,0
20200313,2369,802,6,3
20200312,1567,271,3,1
20200311,1296,157,2,0
20200310,1139,27,2,2
20200309,1112,317,0,0
20200308,795,156,0,0
20200307,639,105,0,0
20200306,534,272,0,0
20200305,262,66,0,0
20200304,196,39,0,0
20200303,157,28,0,0
20200302,129,72,0,0
20200301,57,0,0,0
20200229,57,31,0,0
20200228,26,5,0,0
20200227,21,3,0,0
20200226,18,2,0,0
20200225,16,0,0,0
20200224,16,0,0,0
20200223,16,0,0,0
20200222,16,0,0,0
20200221,16,0,0,0
20200220,16,0,0,0
20200219,16,0,0,0
20200218,16,0,0,0
20200217,16,0,0,0
20200216,16,0,0,0
20200215,16,0,0,0
20200214,16,0,0,0
20200213,16,0,0,0
20200212,16,2,0,0
20200211,14,0,0,0
20200210,14,0,0,0
20200209,14,0,0,0
20200208,14,1,0,0
20200207,13,1,0,0
20200206,12,0,0,0
20200205,12,0,0,0
20200204,12,2,0,0
20200203,10,2,0,0
20200202,8,1,0,0
20200201,7,2,0,0
20200131,5,1,0,0
20200130,4,0,0,0
20200129,4,3,0,0
20200128,1,0,0,0
