Date,Confirmed,New Confirmed,Deaths,New Deaths
20200312,9000,958,354,63
20200311,8042,881,291,54
20200310,7161,595,237,43
20200309,6566,743,194,49
20200308,5823,1076,145,21
20200307,4747,1234,124,17
20200306,3513,591,107,15
20200305,2922,586,92,15
20200304,2336,835,77,11
20200303,1501,523,66,12
20200302,978,385,54,11
20200301,593,205,43,9
20200229,388,143,34,8
20200228,245,104,26,4
20200227,141,46,22,7
20200226,95,34,15,3
20200225,61,18,12,4
20200224,43,15,8,3
20200223,28,10,5,1
20200222,18,13,4,2
20200221,5,3,2,0
20200220,2,2,2,2
