Date,Confirmed,New Confirmed,Deaths,New Deaths
20200426,195351,2357,26384,415
20200425,192994,3021,25969,420
20200424,189973,2646,25549,464
20200423,187327,3370,25085,437
20200422,183957,2729,24648,534
20200421,181228,2256,24114,454
20200420,178972,3047,23660,433
20200419,175925,3491,23227,480
20200418,172434,3493,22747,575
20200417,168941,3786,22172,525
20200416,165155,2667,21647,578
20200415,162488,2972,21069,604
20200414,159516,3153,20465,564
20200413,156363,4092,19901,431
20200412,152271,4694,19470,619
20200411,147577,3951,18851,570
20200410,143626,4204,18281,612
20200409,139422,3836,17669,540
20200408,135586,3039,17129,604
20200407,132547,3599,16525,636
20200406,128948,4316,15889,527
20200405,124632,4805,15362,681
20200404,119827,4585,14681,764
20200403,115242,4668,13917,760
20200402,110574,4782,13157,727
20200401,105792,4053,12430,839
20200331,101739,4050,11591,810
20200330,97689,5217,10781,758
20200329,92472,5974,10023,887
20200328,86498,5959,9136,971
20200327,80539,6153,8165,660
20200326,74386,5210,7505,685
20200325,69176,5249,6820,743
20200324,63927,4789,6077,601
20200323,59138,5560,5476,649
20200322,53578,6557,4827,795
20200321,47021,5986,4032,625
20200320,41035,5322,3407,429
20200319,35713,4207,2978,475
20200318,31506,3526,2503,345
20200317,27980,3233,2503,349
20200316,24747,3590,1809,368
20200315,21157,3497,1441,173
20200314,17660,2547,1268,252
20200313,15112,2651,1016,189
20200312,12462,2313,827,196
20200311,10149,977,631,168
20200310,9172,1797,463,97
20200309,7375,1492,366,132
20200308,5883,1247,234,37
20200307,4636,778,197,49
20200306,3858,769,148,41
20200305,3089,587,107,27
20200304,2502,466,80,28
20200303,2036,347,52,17
20200302,1689,561,35,6
20200301,1128,240,29,8
20200229,888,238,21,4
20200228,650,250,17,5
20200227,400,78,12,1
20200226,322,93,11,5
20200225,229,105,6,4
20200224,124,48,2,0
20200223,76,67,2,2
20200222,9,6,0,0
20200221,3,0,0,0
20200220,3,0,0,0
20200219,3,0,0,0
20200218,3,0,0,0
20200217,3,0,0,0
20200216,3,0,0,0
20200215,3,0,0,0
20200214,3,0,0,0
20200213,3,0,0,0
20200212,3,0,0,0
20200211,3,0,0,0
20200210,3,0,0,0
20200209,3,0,0,0
20200208,3,0,0,0
20200207,3,1,0,0
20200206,2,0,0,0
20200205,2,0,0,0
20200204,2,0,0,0
20200203,2,0,0,0
20200202,2,0,0,0
20200201,2,0,0,0
20200131,2,0,0,0
