Date,Confirmed,New Confirmed,Deaths,New Deaths
20200316,814,34,24,2
20200315,780,64,22,1
20200314,716,41,21,2
20200313,675,55,19,4
20200312,620,52,15,3
20200311,568,54,12,3
20200310,514,26,9,2
20200309,488,33,7,1
20200308,455,48,6,0
20200307,408,59,6,0
20200306,349,32,6,0
20200305,317,33,6,0
20200304,284,16,6,0
20200303,268,14,6,0
20200302,254,15,6,1
20200301,239,9,5,0
20200229,230,20,0,
20200228,210,24,0,
20200227,186,22,3,2
20200226,164,7,1,0
20200225,157,13,1,0
20200224,144,12,1,0
20200223,132,27,1,0
20200222,105,12,1,0
20200221,93,8,1,0
20200220,85,12,1,0
20200219,73,8,1,0
20200218,65,6,1,0
20200217,59,6,1,0
20200216,53,12,1,0
20200215,41,8,1,0
20200214,33,4,1,1
20200213,29,0,0,0
20200212,28,2,0,0
20200211,26,0,0,0
20200210,26,0,0,0
20200209,26,1,0,0
20200208,25,0,0,0
20200207,25,0,0,0
20200206,25,2,0,0
20200205,33,13,0,0
20200204,20,0,0,0
20200203,20,0,0,0
20200202,20,3,0,0
20200201,17,3,0,0
20200131,14,3,0,0
20200130,11,4,0,0
20200129,7,1,0,0
20200128,6,2,0,0
20200127,4,1,0,0
20200126,3,0,0,0
20200125,3,2,0,0
20200124,1,0,0,0
20200123,1,0,0,0
20200122,1,0,0,0
20200121,1,0,0,0
