Date,Confirmed,New Confirmed,Deaths,New Deaths
20200316,8236,74,75,0
20200315,8162,76,75,3
20200314,8086,107,72,6
20200313,7979,110,66,0
20200312,7869,114,66,6
20200311,7755,242,60,6
20200310,7513,131,54,3
20200309,7382,248,51,1
20200308,7134,367,50,6
20200307,6767,483,44,2
20200306,6284,518,42,7
20200305,5766,438,35,3
20200304,5328,516,32,4
20200303,4812,600,28,6
20200302,4212,476,22,4
20200301,3736,586,18,1
20200229,3150,813,17,4
20200228,2337,571,13,0
20200227,1766,505,13,1
20200226,1261,284,12,2
20200225,977,214,10,3
20200224,763,161,7,2
20200223,602,256,5,3
20200222,346,142,2,1
20200221,204,100,1,0
20200220,104,53,1,1
20200219,51,20,0,0
20200218,31,1,0,0
20200217,30,1,0,0
20200216,29,1,0,0
20200215,28,0,0,0
20200214,28,0,0,0
20200213,28,0,0,0
20200212,28,0,0,0
20200211,28,1,0,0
20200210,27,0,0,0
20200209,27,3,0,0
20200208,24,0,0,0
20200207,24,1,0,0
20200206,23,5,0,0
20200205,18,2,0,0
20200204,16,1,0,0
20200203,15,0,0,0
20200202,15,3,0,0
20200201,12,1,0,0
20200131,11,7,0,0
20200130,4,0,0,0
20200129,4,0,0,0
20200128,4,0,0,0
20200127,4,2,0,0
20200126,2,0,0,0
20200125,2,0,0,0
20200124,2,1,0,0
20200123,1,0,0,0
20200122,1,0,0,0
20200121,1,0,0,0
