Date,Confirmed,New Confirmed,Deaths,New Deaths
20200328,14579,2921,769,185
20200327,11662,2129,578,115
20200326,9533,1452,463,41
20200325,8081,1427,422,87
20200324,6654,967,335,54
20200323,5687,669,281,48
20200322,5018,1035,233,56
20200321,3983,706,177,33
20200320,3277,647,144,41
20200319,2630,672,103,0
20200318,1954,407,55,5
20200317,1547,152,55,20
20200316,1395,251,35,14
20200315,1144,342,21,11
20200314,802,207,10,2
20200313,594,139,10,4
20200312,460,83,6,0
20200311,373,52,6,3
20200310,323,50,3,1
20200309,277,65,2,0
20200308,210,46,2,1
20200307,167,46,1,1
20200306,118,29,0,0
20200305,89,34,0,0
20200304,51,11,0,0
20200303,39,5,0,0
20200302,36,12,0,0
20200301,23,4,0,0
20200229,20,6,0,0
20200228,16,0,0,0
20200227,13,0,0,0
20200226,13,0,0,0
20200225,13,4,0,0
20200224,9,0,0,0
20200223,9,0,0,0
20200222,9,0,0,0
20200221,9,0,0,0
20200220,9,0,0,0
20200219,9,0,0,0
20200218,9,0,0,0
20200217,9,0,0,0
20200216,9,0,0,0
20200215,9,0,0,0
20200214,9,0,0,0
20200213,9,1,0,0
20200212,8,0,0,0
20200211,8,4,0,0
20200210,4,1,0,0
20200209,3,0,0,0
20200208,3,0,0,0
20200207,3,1,0,0
20200206,2,0,0,0
20200205,2,0,0,0
20200204,2,0,0,0
20200203,2,0,0,0
20200202,2,0,0,0
20200201,2,0,0,0
