Date,Confirmed,Suspected,Recovered,Deaths,Severe,Contact,JC
20200302, 414, 37, 288, 8,  8, 2735, 2462
20200301, 414, 42, 282, 8,  8, 2728, 2315
20200229, 413, 39, 276, 8,  8, 2690, 2279
20200228, 411, 33, 271, 8,  8, 2683, 2175
20200227, 410, 38, 257, 7,  9, 2667, 2073
20200226, 410, 46, 248, 5, 11, 2658, 1852
20200225, 400, 57, 235, 4, 12, 2574, 1784
20200224, 400, 73, 215, 4, 13, 2487, 1748
20200223, 399, 94, 198, 4, 16, 2484, 1694
20200222, 399,100, 189, 4, 17, 2452, 1655
20200221, 399,104, 178, 4, 19, 2433, 1608
20200220, 396,114, 169, 4, 19, 2095, 1488
20200119, 395,125, 153, 4, 19, 2091, 1419
20200118, 393,145, 145, 4, 20, 2075, 1372
20200117, 387,128, 122, 4, 20, 1967, 1273
20200116, 381,116, 114, 4, 23, 1920, 1132
20200115, 380,122, 105, 4, 24, 1849,  988
20200114, 375,155,  97, 4, 23, 1843,  974
20200113, 372,167,  79, 4,  0, 1776,  798
20200112, 366,194,  68, 3,  0, 1702,  766
20200111, 352,218,  56, 3,  0, 1539,  709

20200210, 342,236,  48, 3,  0, 1502,  677
20200209, 337,207,  44, 2, 17, 1465,  632
20200208, 326,184,  37, 2,  0, 1419,  548
20200207, 315,163,  34, 2,  0, 1202,  498
20200206, 297,157,  33, 1, 15,    0,  0

20200205, 274, 0, 31, 1, 11, 0, 0
20200204, 253, 0, 24, 1, 10, 0, 0
20200203, 228, 0, 23, 1, 11, 0, 0
20200202, 212, 0, 12, 1, 1, 0, 0
20200201, 180, 0, 9, 1, 7, 0, 0
20200131, 156, 0, 5, 1, 16, 0, 0
20200130, 132, 0, 5, 1, 16, 0, 0
20200129, 111, 0, 4, 1, 16, 0, 0
20200128,  91, 0, 4, 1, 14, 0, 0
20200127,  80, 0, 2, 1, 14, 0, 0
20200126,  68, 0, 2, 0, 0, 0, 0
20200125,  51, 0, 2, 0, 1, 0, 0
20200124,  36, 0, 1, 0, 0, 0, 0
20200123,  26, 0, 0, 0, 0, 0, 0
20200122,  14, 0, 0, 0, 0, 0, 0
20200121,  10, 0, 0, 0, 0, 0, 0
20200120,   5, 0, 0, 0, 0, 0, 0
20200119,   2, 0, 0, 0, 0, 0, 0
20200118,   0, 0, 0, 0, 0, 0, 0
