Date,Confirmed,Suspected,Recovered,Deaths,Severe
20200302,  125,  129, 2742,  31, -304
20200301,  202,  141, 2837,  42, -255
20200229,  573,  132, 2623,  35, -299
20200228,  427,  248, 2885,  47, -288
20200227,  327,  452, 3622,  44, -394
20200226,  433,  508, 2750,  29, -406
20200225,  406,  439, 2422,  52, -374
20200224,  508,  530, 2589,  71, -789
20200223,  409,  620, 1846, 150,-1053
20200222,  453,  882, 2230,  97, -509
20200221,  397, 1361, 2392, 109, -156
20200220,  889, 1614, 2109, 118, -231
20200219,  820, 1277, 1781, 114, -113
20200218, 1746, 1185, 1824, 136, 236
20200217, 1886, 1432, 1701, 98, 1097
20200216, 2050, 1563, 1432, 105, -628
20200215, 2009, 1918, 1323, 142, 219
20200214, 2640, 2277, 1373, 143, 849
20200213, 5090, 2450, 1081, 121, 2174
20200212,14108, 2807, 902, 146, -174
20200211, 2015, 3342, 744, 97, 871

20200210, 2468, 3536, 716, 108, 849
20200209, 3061, 4008, 631, 97, 296
20200208, 2567, 3916, 600, 89, 87
20200207, 3395, 4214, 509, 86, 1280
20200206, 3129, 4833, 387, 73, 962
20200205, 3694, 5328, 261, 73, 640
20200204, 3887, 3971, 262, 65, 431
20200203, 3234, 5072, 155, 64, 492
20200202, 2827, 5173, 147, 57, 186
20200201, 2586, 4562, 85, 45, 315

20200131, 2101, 5019, 72, 46, 268
20200130, 1979, 4812, 47, 43, 157
20200129, 1736, 4148, 21, 38, 131
20200128, 1459, 3248, 43, 26, 263
20200127, 1771, 2077, 9, 26, 515
20200126, 769, 3806, 2, 24, 137
20200125, 688, 1309, 11, 15, 87
20200124, 457, 1118, 4, 16, 0

20200123, 259, 680, 6, 8, 0

20200122, 131, 257, 0, 8, 0
20200121, 149, 82, 3, 3, 39
20200120, 77, 27, 0, 2, 19

20200119, 93, 27, 1, 1, 36
20200118, 59, 0, 5, 1, 0
20200117, 17, 0, 4, 0, 3
20200116, 4, 0, 3, 0, 0
20200115, 0, 0, 5, 1, 0
20200114, 0, 0, 0, 0, 0
20200113, 0, 0, 0, 0, 0
20200112, 0, 0, 1, 0, 0
20200111, 0, 0, 4, 0, 0
20200110, 41, 0, 2, 1, 7
20200109, 0, 0, 0, 0, 0
