Date,Confirmed,Suspected,Recovered,Deaths,Severe
20200226,  409,  403, 2288,  26, 0
20200225,  401,  311, 2058,  52, 0
20200224,  499,  373, 2116,  68, 0
20200223,  398,  450, 1439, 149, 0
20200222,  435,  631, 1742,  96, 0
20200221,  366, 1125, 1767, 106, 0
20200220,  631, 1279, 1451, 115, 0
20200219,  775,  880, 1211, 108, 0
20200218, 1693,  596,1266, 132, 0
20200217, 1807,  788,1223,  93, 0
20200216, 1933,  909,1016, 100, 0
20200215, 1843, 1036, 849, 139, 0
20200214, 2420, 1216, 912, 139, 874
20200213, 4823, 1154, 690, 116, 2194
20200212,13797, 1377, 533, 134, -157

20200211, 1638, 1685, 417, 94, 897
20200210, 2097, 1814, 427, 103, 839
20200209, 2618, 2272, 356, 91, 258

20200208, 2060, 2067, 324, 81, 52
20200207, 2841, 2073, 298, 81, 1193
20200206, 2447, 2622, 184, 69, 918
20200205, 2987, 3230, 113, 70, 564
20200204, 3156, 1957, 125, 65, 377
20200203, 2345, 3182, 100, 64, 442
20200202, 2103, 3260, 80, 56, 139
20200201, 1921, 2606, 49, 45, 268

20200131, 1347, 0, 50, 45, 0
20200130, 1220, 0, 26, 42, 0
20200129, 1032, 0, 10, 37, 0
20200128,  840, 0, 33, 25, 0
20200127, 1291, 0, 3, 24, 0
20200126,  371, 0, 2, 24, 0
20200125,  323, 0,10, 13, 0
20200124,  180, 0, 1, 15, 0
20200123,  105, 0, 3,  7, 0
20200122,   69, 0, 0,  8, 0
20200121,  105, 0, 3,  3, 0
20200120,   72, 0, 0,  2, 0

20200119, 77, 0, 1, 1, 0
20200118, 59, 0, 5, 1, 0
20200117, 17, 0, 4, 0, 0
20200116,  4, 0, 3, 0, 0
20200115,  0, 0, 5, 1, 0
20200114,  0, 0, 0, 0, 0
20200113,  0, 0, 0, 0, 0
20200112,  0, 0, 1, 0, 0
20200111,  0, 0, 4, 0, 0
20200110, 41, 0, 2, 1, 7
20200109,  0, 0, 0, 0, 0
