Date,Confirmed,Suspected,Recovered,Deaths,Severe
20200216, 58182, 4826, 6639, 1696,  4826
20200215, 56249, 5243, 5623, 1596, 10396
20200214, 54406, 5534, 4774, 1457, 10152
20200213, 51986, 6169, 3862, 1318, 9278
20200212, 47163, 9028, 3172, 1202, 7084

20200211, 33366, 11295, 2639, 1068, 7241
20200210, 31728, 16687, 2222, 974, 6344
20200209, 29631, 18438, 1795, 871, 5505

20200208, 27013, 23638, 1439, 780, 5247
20200207, 24953, 0, 1115, 699, 5195
20200206, 22112, 0, 817, 618, 4002
20200205, 19665, 0, 633, 549, 3084
20200204, 16678, 0, 520, 479, 2520
20200203, 13522, 0, 395, 414, 2143
20200202, 11177, 0, 295, 350, 1701
20200201, 9074, 0, 215, 294, 1562

20200131, 7153, 0, 166, 249, 1294
20200130, 5806, 0, 116, 204, 1094
20200129, 4586, 0, 90, 162, 988
20200128, 3554, 0, 80, 125, 899
20200127, 2714, 0, 47, 100, 690
20200126, 1423, 0, 44, 76, 290
20200125, 1052, 0, 42, 52, 129
20200124, 729, 0, 32, 39, 157
20200123, 549, 0, 31, 24, 129
20200122, 444, 0, 28, 17, 95
20200121, 375, 0, 28, 9, 88
20200120, 270, 0, 25, 6, 63
 
20200119, 198, 0, 25, 4, 44
20200118, 121, 0, 24, 3, 0
20200117, 62, 0, 19, 2, 8
20200116, 45, 0, 15, 2, 5
20200115, 41, 0, 12, 2, 5
20200114, 41, 0, 7, 1, 6
20200113, 41, 0, 7, 1, 6
20200112, 41, 0, 7, 1, 6
20200111, 41, 0, 6, 1, 7
20200110, 41, 0, 2, 1, 7
20200109,  0, 0, 0, 0, 0
