Date,Confirmed,New Confirmed,Deaths,New Deaths
20200123,1,0,0,0
20200124,1,0,0,0
20200125,2,0,0,0
20200126,2,0,0,0
20200127,5,0,0,0
20200128,5,0,0,0
20200129,5,0,0,0
20200130,5,0,0,0
20200131,6,0,0,0
20200201,7,0,0,0
20200202,8,0,0,0
20200203,11,0,0,0
20200204,11,0,0,0
20200205,11,0,0,0
20200206,12,0,0,0
20200207,12,0,0,0
20200208,12,0,0,0
20200209,12,0,0,0
20200210,12,0,0,0
20200211,13,1,0,0
20200212,13,0,0,0
20200213,14,1,0,0
20200214,15,1,0,0
20200215,15,0,0,0
20200216,15,0,0,0
20200217,15,0,0,0
20200218,15,0,0,0
20200219,15,0,0,0
20200220,15,0,0,0
20200221,15,1,0,0
20200222,35,19,0,0
20200223,35,0,0,0
20200224,35,0,0,0
20200225,53,18,0,0
20200226,53,0,0,0
20200227,59,6,0,0
20200228,59,1,0,0
20200229,62,6,0,0
20200301,62,3,0,1
20200302,62,20,2,1
20200303,64,14,6,4
20200304,118,54,9,3
20200305,176,58,11,2
20200306,223,47,12,1
20200307,341,118,14,2
20200308,417,76,17,3
20200309,584,167,21,4
20200310,778,194,26,5
20200311,1053,275,27,1
20200312,1315,262,36,9
20200313,1922,607,39,3
20200314,2450,528,49,10
20200315,3173,723,60,11
20200316,4019,846,71,11
20200317,5723,1704,90,19
20200318,7731,2008,112,22
20200319,11723,3992,160,48
20200320,17038,5315,219,59
20200321,23203,6165,272,53
20200322,31888,8685,398,126
20200323,42164,10276,471,73
20200324,51970,9806,675,204
20200325,63675,11705,887,212
20200326,80735,17060,1163,276
20200327,99447,18712,1530,367
20200328,118234,18787,1965,435
20200329,139061,20827,2428,463
20200330,160530,21469,2939,511
20200331,184770,24240,3746,807
20200401,210770,26000,4700,954
20200402,239009,28239,5784,1084
20200403,271915,32906,6962,1178
20200404,305755,33840,8314,1352
20200405,332308,26553,9498,1184
20200406,361331,29023,10680,1182
20200407,392594,31263,12621,1941
20200408,423164,30570,14495,1874
20200409,457963,34799,16399,1904
20200410,492678,34715,18461,2062
20200411,523199,30521,20339,1878
20200412,551826,28627,21919,1580
